Fecha;Hora;Estado_Detectado;Confianza
2025-12-08;08:42:07;DISFUNCIONAL;88.12%
2025-12-08;09:01:03;DISFUNCIONAL;96.78%
2025-12-08;09:10:23;DISFUNCIONAL;85.18%
2025-12-08;09:15:50;DISFUNCIONAL;89.77%
2025-12-08;09:16:13;DISFUNCIONAL;89.06%
2025-12-08;13:33:35;DISFUNCIONAL;92.57%
2025-12-08;14:04:08;DISFUNCIONAL;89.12%
2025-12-08;14:07:19;DISFUNCIONAL;88.14%
2025-12-08;14:30:10;DISFUNCIONAL;91.53%
2025-12-08;14:30:45;DISFUNCIONAL;88.69%
2025-12-08;14:33:13;DISFUNCIONAL;89.88%
2025-12-08;14:34:03;DISFUNCIONAL;92.25%
2025-12-08;14:35:52;DISFUNCIONAL;93.89%
2025-12-08;14:36:52;DISFUNCIONAL;89.49%
2025-12-08;16:18:05;DISFUNCIONAL;92.61%
2025-12-08;16:18:47;DISFUNCIONAL;86.87%
2025-12-08;16:19:51;DISFUNCIONAL;88.48%
2025-12-08;16:21:23;DISFUNCIONAL;94.83%
2025-12-08;16:46:41;DISFUNCIONAL;93.96%
